TIME,T,year,month,day,R_Rf,R_Market,R_I_Aero,R_I_Guns,R_I_Steel,R_I_Ships,R_I_Beer,R_I_Toys,R_I_Fin,R_I_Rtail,R_I_Agric,R_I_Food,R_I_Soda,R_I_Smoke,R_I_Fun,R_I_Books,R_I_Hshld,R_I_Clths,R_I_Hlth,R_I_MedEq,R_I_Drugs,R_I_Chems,R_I_Rubbr,R_I_Txtls,R_I_BldMt,R_I_Cnstr,R_I_FabPr,R_I_Mach,R_I_ElcEq,R_I_Autos,R_I_Gold,R_I_Mines,R_I_Coal,R_I_Oil,R_I_Util,R_I_Telcm,R_I_PerSv,R_I_BusSv,R_I_Hardw,R_I_Softw,R_I_Chips,R_I_LabEq,R_I_Paper,R_I_Boxes,R_I_Trans,R_I_Whlsl,R_I_Meals,R_I_Banks,R_I_Insur,R_I_RlEst,R_I_Other,eR_Market,eR_I_Aero,eR_I_Guns,eR_I_Steel,eR_I_Ships,eR_I_Beer,eR_I_Toys,eR_I_Fin,eR_I_Rtail,eR_I_Agric,eR_I_Food,eR_I_Soda,eR_I_Smoke,eR_I_Fun,eR_I_Books,eR_I_Hshld,eR_I_Clths,eR_I_Hlth,eR_I_MedEq,eR_I_Drugs,eR_I_Chems,eR_I_Rubbr,eR_I_Txtls,eR_I_BldMt,eR_I_Cnstr,eR_I_FabPr,eR_I_Mach,eR_I_ElcEq,eR_I_Autos,eR_I_Gold,eR_I_Mines,eR_I_Coal,eR_I_Oil,eR_I_Util,eR_I_Telcm,eR_I_PerSv,eR_I_BusSv,eR_I_Hardw,eR_I_Softw,eR_I_Chips,eR_I_LabEq,eR_I_Paper,eR_I_Boxes,eR_I_Trans,eR_I_Whlsl,eR_I_Meals,eR_I_Banks,eR_I_Insur,eR_I_RlEst,eR_I_Other
1960m1,1960.082,1960,1,31,.0032946,-.0688143,-.0598562,,-.0948603,-.0195907,-.0553013,.1108256,-.0659262,-.0593255,-.0422814,-.0424901,,-.0173496,-.0942008,-.0643252,-.0780697,-.0855579,,-.0395728,-.0668879,-.1020327,-.0365603,-.0454159,-.0672087,-.0244976,,-.0417599,-.1274925,-.1208126,,-.0354199,-.0788268,-.0778534,-.0209172,.0094552,-.058583,-.0383251,-.0568879,,-.1150742,-.1133927,-.0780697,-.0956302,-.0407178,-.0512933,-.1025866,-.0099493,-.1075852,-.0668879,-.0373904,-.07210888,-.06315073,,-.09815485,-.02288522,-.05859588,.10753099,-.06922072,-.06262004,-.04557596,-.04578462,,-.02064421,-.09749536,-.06761978,-.08136423,-.08885245,,-.04286734,-.07018251,-.10532729,-.03985482,-.04871043,-.07050332,-.0277922,,-.0450545,-.13078709,-.12410719,,-.03871451,-.08212135,-.081148,-.02421181,.00616059,-.06187753,-.04161968,-.06018243,,-.11836877,-.11668726,-.08136423,-.0989248,-.0440124,-.05458786,-.10588116,-.0132439,-.11087978,-.07018251,-.04068496
1960m2,1960.159,1960,2,28,.0028958,.0144944,.0205866,,-.0175532,.0291704,-.0186733,.0712969,-.0217345,.0420053,.0545829,.0341115,,.0252778,.0086624,.0324672,.0916672,.0171521,,.0362355,.0009995,-.0045102,.003992,.0060815,.0339182,.0106432,,-.0185714,.0525925,-.0187752,,.0184291,-.0271657,-.0351092,.0273233,.0802888,.1281293,.0031949,.0209784,,.0980337,.1016537,-.0788268,.0347878,-.0065212,.0169554,.0207825,.0014989,.0206846,-.0059175,.0846168,.01159864,.01769083,,-.02044896,.02627457,-.02156907,.06840108,-.0246303,.03910949,.05168708,.03121573,,.022382,.00576657,.02957139,.08877139,.01425626,,.03333969,-.0018963,-.00740596,.00109622,.00318567,.03102242,.00774736,,-.02146719,.04969665,-.02167096,,.01553333,-.03006147,-.03800498,.02442749,.07739303,.12523353,.00029909,.0180826,,.09513794,.09875785,-.08172258,.03189202,-.00941702,.01405964,.01788674,-.00139693,.01778879,-.00881328,.08172104
1960m3,1960.247,1960,3,31,.0034939,-.0128826,-.0989367,,-.0537173,-.0419685,-.0262413,-.016231,-.0066219,.0021976,.0273233,-.0171462,,.0016986,.0144944,.0522129,-.0021022,-.0226547,,-.0430119,.0189199,-.0242927,.0090588,-.0665672,-.0041084,-.0083346,,-.0328332,-.0054146,-.0649653,,-.0267547,-.0525572,-.007226,.0175452,.001399,.0270313,-.0410303,.0369104,,.0008996,.0440169,-.0196926,-.0210194,-.0476159,-.0102524,-.0359381,.0163654,-.0073268,-.0088389,-.0312843,-.01637651,-.10243064,,-.05721117,-.04546238,-.0297352,-.0197249,-.01011577,-.00129631,.02382941,-.02064005,,-.00179533,.01100056,.04871898,-.0055961,-.02614858,,-.04650578,.015426,-.02778658,.00556496,-.07006113,-.00760232,-.01182853,,-.03632705,-.00890852,-.06845917,,-.03024863,-.05605114,-.01071993,.01405129,-.00209487,.02353745,-.04452424,.03341646,,-.00259429,.040523,-.02318652,-.02451326,-.05110974,-.01374627,-.039432,.01287146,-.01082066,-.01233284,-.03477818
1960m4,1960.329,1960,4,30,.0018982,-.0153167,-.0054146,,-.0548787,-.0261387,-.0198966,.1218636,-.0202027,-.0034058,.0430595,.0106432,,.0152826,-.0179603,-.0047111,-.0108587,.003992,,.0028958,.0173486,-.0548787,.0047885,-.0091417,-.0093435,-.0988264,,-.0398849,-.0092426,-.0214279,,-.0062193,-.0281937,-.0438474,.013607,-.0105555,.0934903,-.0240878,.0224462,,.0515483,.0054849,-.0749391,.0075713,-.0194887,.0063796,.0866363,.019018,-.0410303,-.0726782,.0082657,-.0172149,-.00731283,,-.05677686,-.02803685,-.02179483,.11996539,-.0221009,-.00530399,.04116129,.00874496,,.01338443,-.01985852,-.00660928,-.01275694,.00209382,,.00099761,.01545044,-.05677686,.00289032,-.01103986,-.01124171,-.10072455,,-.04178313,-.01114078,-.02332614,,-.0081175,-.03009193,-.0457456,.01170881,-.01245371,.09159215,-.02598599,.02054799,,.04965006,.00358673,-.07683728,.00567307,-.02138687,.00448141,.08473811,.01711981,-.04292855,-.07457643,.00636755
1960m5,1960.414,1960,5,31,.0026964,.0333381,.0997548,,.0258627,.0711106,-.0025031,.10436,-.0069239,.0332413,.1576873,.0733434,,.0267393,.0221528,.1595646,.0770536,.0199007,,.1510029,.1279534,.0360426,-.0120726,.0234235,.0378737,-.0777453,,.0118298,.0653195,.0053855,,-.0112632,.0264472,-.0364565,.0150856,.0326608,.0035935,-.0404054,.1176052,,.109482,.1109151,-.040822,.0320799,.0119286,.019018,.0106432,-.0041084,.0199987,.063538,.0211742,.0306417,.09705847,,.0231663,.06841426,-.00519949,.10166365,-.00962028,.03054497,.15499091,.07064703,,.02404294,.01945644,.1568682,.07435727,.0172043,,.14830651,.125257,.03334623,-.01476894,.02072715,.03517729,-.08044171,,.00913339,.0626231,.00268911,,-.01395955,.02375081,-.0391529,.01238928,.02996442,.00089717,-.04310178,.11490888,,.10678565,.10821869,-.04351836,.02938353,.00923221,.01632164,.0079468,-.00680479,.01730232,.06084166,.01847787
1960m6,1960.496,1960,6,30,.0023971,.022935,.001399,,.0154796,.0168571,.0070749,-.0134906,.0191161,.0358497,-.0530844,.0658814,,.0485044,.0848006,.007472,.0641009,-.013592,,.0016986,-.0017014,.0068763,-.0257281,.0419094,.0277124,.0164637,,.0185273,.0003999,-.0005001,,-.011769,-.0110609,.0355602,.0562858,-.0034058,-.1030299,.0008996,.0309171,,-.0338671,.0318862,-.0458345,.0381625,.0237165,.0601539,.01262,.0524027,.0787188,-.0592194,.0925792,.02053785,-.0009981,,.01308245,.01445999,.00467779,-.01588772,.01671899,.03345253,-.0554815,.06348424,,.04610728,.08240348,.00507489,.0617038,-.01598908,,-.00069857,-.00409857,.00447918,-.02812527,.03951228,.02531531,.0140666,,.01613018,-.0019972,-.00289725,,-.01416611,-.01345807,.03316305,.05388869,-.00580292,-.10542702,-.00149753,.02851998,,-.03626419,.02948906,-.04823166,.03576534,.0213194,.0577568,.01022291,.05000556,.07632163,-.06161648,.09018205
1960m7,1960.581,1960,7,31,.0012992,-.0226547,.0371994,,-.022757,-.0238829,-.0066219,-.0643252,-.0087381,-.0290169,-.044579,-.0173496,,.0462154,-.0224501,.0141001,-.0047111,-.0097474,,.0150856,-.0426988,-.0690286,-.0261387,-.0305623,-.0526627,-.0285024,,-.0383251,-.0707444,-.0119714,,.0251803,.0214679,.0066777,-.0123763,.0009995,.0340149,-.0074275,-.0104545,,-.0492953,-.0283995,-.0108587,-.0410303,-.0306654,-.0621946,-.0112632,.0090588,.0143959,-.0447882,-.0759096,-.02395384,.03590028,,-.02405614,-.0251821,-.00792103,-.06562437,-.01003722,-.0303161,-.0458782,-.01864879,,.04491627,-.02374928,.01280097,-.00601024,-.01104651,,.01378648,-.04399791,-.07032774,-.02743781,-.03186146,-.05396181,-.02980152,,-.03962427,-.07204356,-.01327053,,.02388114,.02016875,.0053785,-.01367543,-.00029966,.03271572,-.00872667,-.01175361,,-.05059445,-.02969863,-.0121579,-.04232951,-.03196457,-.06349376,-.01256235,.00775969,.01309673,-.04608734,-.07720875
1960m8,1960.666,1960,8,31,.0016986,.0313049,.1018343,,.0079682,-.0154183,.0335315,.0555293,.0224462,.029753,-.0434296,.0555293,,.0523078,.0913934,.0364284,.0512633,.034498,,.0255703,.0243023,.013311,.01262,-.0067225,.0075713,.0033942,,.0096533,-.0087381,.0301412,,.0686862,.0357532,.0402778,.043634,.0686862,.0649447,.0456424,.0255703,,.0244975,.0346912,.0372958,.0130149,.0208805,.0457379,.0219572,.0489806,.0233258,.0395091,.0467882,.02960629,.10013575,,.00626961,-.01711681,.03183293,.05383075,.02074763,.0280544,-.04512811,.05383075,,.05060922,.08969487,.0347298,.04956474,.03279948,,.02387172,.02260374,.01161246,.01092147,-.0084211,.00587271,.00169568,,.0079547,-.01043662,.0284426,,.0669876,.03405461,.03857929,.04193548,.0669876,.06324613,.0439438,.02387172,,.02279892,.03299268,.03559723,.01131638,.01918192,.04403933,.02025861,.04728207,.02162727,.03781058,.0450896
1960m9,1960.748,1960,9,30,.0015987,-.0600685,-.0851223,,-.0842516,-.1015899,-.0496105,-.0047111,-.0532953,-.0876298,-.1488481,-.0277824,,-.0194887,-.0454159,-.0661398,-.0945305,-.0415514,,-.1120495,-.0898153,-.0676366,-.0736465,-.0522411,-.0499258,-.0499258,,-.0568879,-.1086994,-.0591133,,-.020713,-.0516091,-.0092426,-.0465676,-.0609184,-.0323166,-.0615563,-.0519251,,-.1703139,-.1072512,-.0929929,-.0745081,-.0712812,-.0864297,-.0175532,-.0461487,-.1219417,-.0422814,-.026652,-.06166725,-.08672097,,-.08585027,-.10318858,-.05120922,-.0063098,-.05489402,-.08922848,-.15044682,-.0293811,,-.0210874,-.04701459,-.06773852,-.09612921,-.04315015,,-.11364823,-.09141403,-.06923537,-.07524526,-.05383983,-.05152453,-.05152453,,-.05848659,-.11029814,-.06071198,,-.02231176,-.05320786,-.0108413,-.04816636,-.06251713,-.03391532,-.06315502,-.05352379,,-.17191266,-.10884991,-.09459159,-.07610677,-.07287992,-.08802845,-.01915188,-.04774738,-.12354039,-.04388011,-.02825075
1960m10,1960.833,1960,10,31,.0021976,-.004912,.0140015,,-.0215301,.0086624,.0075713,.0461199,-.0149106,.0054849,-.104139,.0218593,,.0400857,-.05975,.0295588,.064851,-.03335,,.0445909,-.0407178,-.0137947,-.0209172,-.0288111,-.0104545,-.0495054,,-.0120726,-.0341775,-.0102524,,.0335315,-.0142003,.0246926,-.0032051,.001399,.0639133,.0066777,-.0131866,,.001399,-.0802344,-.0034058,-.0166376,-.0082338,-.040822,-.0441609,.0088606,-.0005001,-.0417599,.0176434,-.00710963,.01180394,,-.0237277,.00646479,.00537368,.04392235,-.0171082,.00328735,-.10633663,.01966175,,.03788814,-.06194759,.02736122,.06265339,-.03554756,,.0423933,-.04291542,-.01599229,-.02311483,-.03100866,-.01265204,-.051703,,-.01427017,-.03637503,-.01244996,,.0313339,-.01639793,.02249503,-.00540271,-.00079856,.06171574,.00448007,-.01538414,,-.00079856,-.08243198,-.00560338,-.01883522,-.01043139,-.04301958,-.04635848,.00666304,-.00269771,-.04395752,.01544585
1960m11,1960.915,1960,11,30,.0012992,.0470744,.0792732,,.0139029,.0594946,.064851,.1529786,.0578915,.0642885,.0522129,.0944917,,.0542041,.0968544,.12266,.0885602,.0322736,,.0836056,.0366212,.0428679,.0320799,.0214679,.0633503,.1126141,,.0807501,.052118,-.0028039,,.0727857,.0655068,.0328543,.0371994,.041046,.0708312,.042197,.0889262,,-.0023026,.078996,.0525925,.0529719,.0538251,.0939456,.0443039,.0844331,.0908457,.0837895,.0442083,.04577525,.07797403,,.01260375,.05819542,.06355181,.15167941,.05659232,.06298933,.05091372,.09319251,,.0529049,.09555529,.12136086,.08726102,.0309744,,.08230643,.03532203,.04156875,.03078074,.02016875,.06205116,.11131499,,.07945099,.0508188,-.00410308,,.07148652,.06420765,.03155518,.03590028,.03974681,.06953203,.04089789,.08762706,,-.0036018,.07769685,.0512933,.05167273,.05252593,.09264646,.04300477,.0831339,.08954653,.08249037,.0429091
