year,month,T,PriceEarningRatio,PriceEarningRatioSA,PriceDividendRatio,gcr,gip,inflation,recession,unrate,ghousestarts,IndexUMConfidence,gIPBUSEQ,gIPCONGD,gIPDCONGD,gIPDMAN,gIPDMAT,gIPFINAL,gIPMAN,gIPMAT,gIPMINE,gIPNCONGD,gIPNMAN,gIPNMAT,gIPUTIL,gaip,gacr,gaIPBUSEQ,gaIPCONGD,gaIPDCONGD,gaIPDMAN,gaIPDMAT,gaIPFINAL,gaIPMAN,gaIPMAT,gaIPMINE,gaIPNCONGD,gaIPNMAN,gaIPNMAT,gaIPUTIL,TermSpreadS,TermSpreadL,CreditSpread,FEDFUNDS,GS1,GS10,GS20,GS3,GS5,GS7,GS2,GS30,GS3M,GS6M,GS1M,P_oil_WTI,P_oil_Brent,gP_oil_WTI,gP_oil_Brent
1960,1,1960.082,17.11799,18.338285,31.08744,.00141619,.02591555,-.0005504,0,5.2,-.092192,,.03631784,.03123461,.10383207,,.03905486,.02902185,,.0284821,-.01948067,.00456099,,.01523944,.00248341,.00582565,.00984835,-.01321032,.02100337,-.01837422,,-.00234798,.01167154,,.00116574,.02077713,.0355738,,-.00014607,.05372926,.0010276,,.73,3.99,5.03,4.72,4.42,4.99,4.92,,,,,,,2.97,,0,
1960,2,1960.159,16.45428,17.545275,29.30653,.0030247,-.0089369,.0010395,0,4.8,.02902668,100,.00646986,-.01145536,-.01385818,,-.01670492,-.00343881,,-.01304453,.00870447,-.01029228,,-.00614354,.00866039,.03912935,.00271701,-.01780605,.02213401,.02099924,,.12029279,.01402057,,.07546263,.08389448,.02396055,,-.00172093,.0713244,.0006471,,.78,3.97,4.66,4.49,4.28,4.73,4.69,,,,,,,2.97,,0,
1960,3,1960.247,16.23009,17.286021,28.36082,.01333792,-.00901749,.0005499,0,5.4,-.3040044,,.00215102,.00115378,-.01996334,,-.03208457,-.00114611,,-.01654758,.00432472,.00915587,,.00043794,.01709427,.02981645,-.00238246,-.01907456,.02105546,.03912464,,.11122517,.01174003,,.06017499,.08112675,.0148131,,-.01011926,.06070151,.0012563,,.76,3.84,4.02,4.25,4.14,4.29,4.31,,,,,,,2.97,,0,
1960,4,1960.329,16.65237,17.429767,28.67758,.0140241,-.00796117,.0036581,0,5.2,.15040802,,-.01077942,.00688046,-.00118876,,-.03652944,.00114611,,-.02363474,.02661133,.01019645,,-.0087984,-.00242489,.03593268,.00920513,-.01922555,.0361535,.02729565,,.11536816,.02112576,,.06677598,.07093564,.03765462,,.00266626,.06205678,.0011071,,.75,3.92,4.04,4.28,4.23,4.27,4.29,,,,,,,2.97,,0,
1960,5,1960.414,16.71646,17.256171,28.36639,-.0217332,-.0011425,.001034,1,5.1,-.01406273,93.3,.00324715,.00569825,.0094544,,-.01362546,.00686584,,-.00915695,-.01268486,.00337834,,.00156291,-.00975405,.01563441,.00612938,-.00570049,.03926725,.12524737,,.00761666,.02619215,,.00122736,.00327682,.01366757,,-.00955245,.05553129,.0017167,,.82,3.85,4.21,4.35,4.2,4.46,4.49,,,,,,,2.97,,0,
1960,6,1960.496,17.56442,17.823364,29.3641,-.00135351,-.01265025,.0004255,1,5.4,-.01906333,,-.01305236,-.00684123,-.01064457,,-.03252356,-.01146659,,-.0162202,-.00962184,-.00563441,,.00087561,.00488656,-.06362518,-.00524488,-.04354428,0,-.02969933,,-.20872223,-.01065425,,-.12783298,-.0183894,.00910127,,-.03684781,.03787461,.0018798,,.81,3.32,3.36,4.15,4.04,4.01,4.12,,,,,,,2.97,,0,
1960,7,1960.581,17.11135,17.376806,28.6359,.00091255,-.00347917,.0017607,1,5.5,-.04092224,,-.0121086,-.009197,-.03879324,,.00588645,-.00578298,,.00116574,-.00754605,.00225607,,-.00832511,.00243671,-.08832462,-.00547381,-.07285624,-.0394934,-.17092048,,-.23591189,-.04206306,,-.14751452,0,.0079339,,-.04809638,.03659449,.0013966,,.81,3.23,3.2,3.9,3.91,3.63,3.79,,,,,,,2.97,,0,
1960,8,1960.666,17.29896,17.582113,28.97949,-.00260921,-.00116242,.0016971,1,5.6,.11583182,97.2,-.01337563,.00230865,.0110633,,-.00588645,0,,-.00467567,.00862005,2.501e-06,,-.00526653,.00727471,-.08060384,-.0062339,-.08867017,-.0221311,-.16251822,,-.23505583,-.03862425,,-.14200579,-.01308603,.02497407,,-.03733607,.0315168,.0012573,,.8,2.98,2.95,3.8,3.84,3.41,3.62,,,,,,,2.97,,0,
1960,9,1960.748,16.76147,17.052015,28.10769,.00319024,-.01051877,.0006054,1,5.5,-.20307106,,-.00901753,-.00461971,-.01229776,,-.0130672,-.00581662,,-.0165507,-.00862005,-.00338978,,-.00707984,.00482057,-.06552049,-.00827,-.09199235,-.02328488,-.14255488,,-.20163871,-.03628394,,-.11667356,-.00975743,.0158182,,-.01812369,.01561546,.0008737,,.76,2.6,3.07,3.8,3.86,3.43,3.61,,,,,,,2.97,,0,
1960,10,1960.833,16.43119,16.605105,27.55385,.00323273,-.00117608,.0011493,1,6.1,.12735924,,-.00796053,.01036089,.01107689,,-.01203505,.00465431,,-.00358118,-.00433879,.01013009,,-.00605102,-.00120297,-.03721489,-.02335516,-.07069771,-.00688046,-.07137345,,-.11962117,-.02088069,,-.063478,-.03964201,.01455033,,.00371736,.03458905,.0016942,,.81,2.47,3.04,3.89,3.92,3.53,3.76,,,,,,,2.97,,0,
1960,11,1960.915,16.9633,17.146088,28.44615,-.00485485,-.01421765,.0033796,1,6.1,0,90.1,-.0022794,-.01849784,-.0336057,,-.04329302,-.01168091,,-.02666925,-.00326612,-.01013009,,-.01052625,.00239983,-.02078721,.00339689,-.07278596,-.00113935,-.04943781,,-.06005348,-.01957554,,-.02443231,-.02586289,.01781528,,.01612361,.06522662,.0015036,,.77,2.44,3.08,3.93,3.96,3.6,3.81,,,,,,,2.97,,0,
1960,12,1961,17.37003,17.562091,29.1282,-.01383252,-.01927834,.0001807,1,6.6,-.15884332,,-.02315667,-.0070255,-.03477443,,-.04791386,-.01301032,,-.02740003,-.00109158,-.00113248,,-.00277304,.00120008,.00576769,.00592484,-.05163494,.01701469,-.00595975,,-.00354547,.00115427,,.00698311,-.00754605,.02785741,,.02517384,.05688888,.0011311,,.75,1.98,2.86,3.84,3.91,3.42,3.67,,,,,,,2.97,,0,
1961,1,1961.082,18.60436,18.470417,30.67803,.00118726,.00121612,.0001807,1,6.6,.10695849,,.00700587,-.00825879,-.03738909,,.0118652,-.00238697,,.00880056,-.00109128,.00339361,,.00399087,.00120329,.02069161,.00066585,-.03378653,.03517182,.05061539,,.01514152,.01382254,,.01964341,.00324142,.02998728,,.03899607,.05445217,.001358,,.78,1.45,2.81,3.84,3.9,3.39,3.67,,,,,,,2.97,,0,
1961,2,1961.159,19.73651,19.234015,31.99148,.00226461,-.00121612,.0009632,1,6.9,.03570325,91.6,-.00934407,.00590693,-.00545592,,-.01584885,0,,-.00753579,-.00438156,.0067479,,.00461677,.0035827,.03091238,.0053765,-.01582858,.03952958,.04189902,,.04163027,.02066489,,.04358405,.01279451,.03869938,,.06305115,.06204292,.0008701,,.8,2.54,2.93,3.78,3.84,3.46,3.66,,,,,,,2.97,,0,
1961,3,1961.244,20.75081,19.844225,33.05155,.01130182,.00606587,-.0006019,0,6.9,.06779585,,-.00117115,0,0,,.00133255,.0011942,,.00878464,.00765332,0,,.01965032,.00119293,.04030282,.00619956,.00789766,.02739779,-.00372117,,.06819294,.02192792,,.06237778,.02035422,.03665083,,.06658592,.06738891,.0011166,,.8,2.02,2.88,3.74,3.81,3.35,3.6,,,,,,,2.97,,0,
1961,4,1961.326,21.443,20.382843,33.93299,-.00106106,.02034443,-.0006022,0,7,-.1179736,,.01051522,.02328488,.06999267,,.0454881,.01654937,,.02956082,-.00327325,.00892859,,.01304265,.01654869,.06048542,.00758188,.01473707,.04370679,.03959538,,.0857996,.03649088,,.08371578,.04567917,.04381838,,.0994317,.07530827,.0012058,,.76,1.49,2.88,3.78,3.81,3.33,3.57,,,,,,,2.97,,0,
1961,5,1961.411,21.80328,20.598607,34.27835,.00501885,.01528517,.000542,0,7.1,.05180774,92.5,.00115891,.01143936,.03139004,,.04594222,.00817098,,.02988874,.00109427,.00664329,,.01396916,.02088352,.09008802,.02073868,.04365003,.0795938,.11693556,,.14889439,.06813048,,.12350084,.05102088,.06354908,,.12521713,.07402419,.0010298,,.74,1.98,2.87,3.71,3.74,3.23,3.47,,,,,,,2.97,,0,
1961,6,1961.493,21.65676,20.332415,33.82474,.00117444,.01390466,.0004816,0,6.9,.1181449,,.00809865,.01131282,.03283349,,.02398445,.00926323,,.01519523,.008695,.00440772,,.00992585,-.00345119,.11805097,.04019084,.07008938,.08877386,.16957168,,.21301772,.08770614,,.16491647,.05107521,.06468156,,.14240722,.07727469,.0012823,,.7,1.73,3.06,3.88,3.89,3.63,3.81,,,,,,,2.97,,0,
1961,7,1961.578,21.54992,20.146644,33.61638,-.00434644,.01144475,.0021641,0,7,-.03460043,,.00573981,.00896013,.0177819,,.02457344,.00688529,,.01382604,.00324142,.00438595,,.00549712,0,.10815024,.03819476,.05980083,.08947535,.18458532,,.20007862,.08462233,,.14859219,.04383378,.05703265,,.11063264,.09149006,.0016981,,.68,1.17,2.92,3.92,3.93,3.59,3.84,,,,,,,2.97,,0,
